E:2663 O:2332 N:3076 S:3059 | ErrAz:331 ErrEl:17 | P_Az:33 P_El:-1
E:2663 O:2332 N:3076 S:3059 | ErrAz:331 ErrEl:17 | P_Az:33 P_El:-1
E:2663 O:2332 N:3077 S:3059 | ErrAz:331 ErrEl:18 | P_Az:33 P_El:-1
E:2664 O:2332 N:3078 S:3059 | ErrAz:332 ErrEl:19 | P_Az:33 P_El:-1
E:2664 O:2332 N:3077 S:3059 | ErrAz:332 ErrEl:18 | P_Az:33 P_El:-1
E:2664 O:2333 N:3077 S:3059 | ErrAz:331 ErrEl:18 | P_Az:33 P_El:-1
E:2662 O:2333 N:3077 S:3059 | ErrAz:329 ErrEl:18 | P_Az:32 P_El:-1
E:2662 O:2333 N:3077 S:3059 | ErrAz:329 ErrEl:18 | P_Az:32 P_El:-1
E:2662 O:2333 N:3078 S:3058 | ErrAz:329 ErrEl:20 | P_Az:32 P_El:-2
E:2662 O:2333 N:3078 S:3058 | ErrAz:329 ErrEl:20 | P_Az:32 P_El:-2
E:2660 O:2331 N:3078 S:3058 | ErrAz:329 ErrEl:20 | P_Az:32 P_El:-2
E:2660 O:2332 N:3078 S:3058 | ErrAz:328 ErrEl:20 | P_Az:32 P_El:-2
E:2660 O:2332 N:3078 S:3058 | ErrAz:328 ErrEl:20 | P_Az:32 P_El:-2
E:2659 O:2331 N:3079 S:3058 | ErrAz:328 ErrEl:21 | P_Az:32 P_El:-2
E:2658 O:2331 N:3079 S:3055 | ErrAz:327 ErrEl:24 | P_Az:32 P_El:-2
E:2659 O:2331 N:3078 S:3055 | ErrAz:328 ErrEl:23 | P_Az:32 P_El:-2
E:2659 O:2331 N:3078 S:3055 | ErrAz:328 ErrEl:23 | P_Az:32 P_El:-2
E:2659 O:2330 N:3073 S:3055 | ErrAz:329 ErrEl:18 | P_Az:32 P_El:-1
E:2660 O:2336 N:3073 S:3056 | ErrAz:324 ErrEl:17 | P_Az:32 P_El:-1
E:2660 O:2335 N:3074 S:3056 | ErrAz:325 ErrEl:18 | P_Az:32 P_El:-1
E:2656 O:2335 N:3074 S:3056 | ErrAz:321 ErrEl:18 | P_Az:32 P_El:-1
E:2657 O:2335 N:3075 S:3056 | ErrAz:322 ErrEl:19 | P_Az:32 P_El:-1
E:2657 O:2335 N:3076 S:3056 | ErrAz:322 ErrEl:20 | P_Az:32 P_El:-2
E:2658 O:2334 N:3076 S:3057 | ErrAz:324 ErrEl:19 | P_Az:32 P_El:-1
E:2659 O:2334 N:3076 S:3057 | ErrAz:325 ErrEl:19 | P_Az:32 P_El:-1
E:2660 O:2334 N:3076 S:3057 | ErrAz:326 ErrEl:19 | P_Az:32 P_El:-1
E:2660 O:2332 N:3077 S:3059 | ErrAz:328 ErrEl:18 | P_Az:32 P_El:-1
E:2660 O:2332 N:3077 S:3059 | ErrAz:328 ErrEl:18 | P_Az:32 P_El:-1
E:2661 O:2331 N:3077 S:3059 | ErrAz:330 ErrEl:18 | P_Az:33 P_El:-1
E:2661 O:2331 N:3076 S:3059 | ErrAz:330 ErrEl:17 | P_Az:33 P_El:-1
E:2661 O:2331 N:3077 S:3058 | ErrAz:330 ErrEl:19 | P_Az:33 P_El:-1
E:2661 O:2330 N:3077 S:3058 | ErrAz:331 ErrEl:19 | P_Az:33 P_El:-1
E:2662 O:2331 N:3077 S:3058 | ErrAz:331 ErrEl:19 | P_Az:33 P_El:-1
E:2662 O:2330 N:3077 S:3058 | ErrAz:332 ErrEl:19 | P_Az:33 P_El:-1
E:2663 O:2331 N:3078 S:3059 | ErrAz:332 ErrEl:19 | P_Az:33 P_El:-1
E:2663 O:2331 N:3078 S:3058 | ErrAz:332 ErrEl:20 | P_Az:33 P_El:-2
E:2664 O:2332 N:3078 S:3060 | ErrAz:332 ErrEl:18 | P_Az:33 P_El:-1
E:2666 O:2332 N:3078 S:3059 | ErrAz:334 ErrEl:19 | P_Az:33 P_El:-1
E:2666 O:2331 N:3078 S:3059 | ErrAz:335 ErrEl:19 | P_Az:33 P_El:-1
E:2665 O:2331 N:3078 S:3059 | ErrAz:334 ErrEl:19 | P_Az:33 P_El:-1
E:2666 O:2331 N:3078 S:3058 | ErrAz:335 ErrEl:20 | P_Az:33 P_El:-2
E:2666 O:2332 N:3078 S:3059 | ErrAz:334 ErrEl:19 | P_Az:33 P_El:-1
E:2666 O:2332 N:3079 S:3059 | ErrAz:334 ErrEl:20 | P_Az:33 P_El:-2
E:2666 O:2331 N:3079 S:3059 | ErrAz:335 ErrEl:20 | P_Az:33 P_El:-2
E:2664 O:2331 N:3079 S:3058 | ErrAz:333 ErrEl:21 | P_Az:33 P_El:-2
E:2664 O:2331 N:3079 S:3058 | ErrAz:333 ErrEl:21 | P_Az:33 P_El:-2
E:2664 O:2331 N:3079 S:3058 | ErrAz:333 ErrEl:21 | P_Az:33 P_El:-2
E:2665 O:2331 N:3079 S:3058 | ErrAz:334 ErrEl:21 | P_Az:33 P_El:-2
E:2664 O:2331 N:3080 S:3058 | ErrAz:333 ErrEl:22 | P_Az:33 P_El:-2
E:2665 O:2331 N:3079 S:3059 | ErrAz:334 ErrEl:20 | P_Az:33 P_El:-2
E:2664 O:2331 N:3080 S:3060 | ErrAz:333 ErrEl:20 | P_Az:33 P_El:-2
E:2664 O:2331 N:3080 S:3060 | ErrAz:333 ErrEl:20 | P_Az:33 P_El:-2
E:2664 O:2331 N:3080 S:3059 | ErrAz:333 ErrEl:21 | P_Az:33 P_El:-2
E:2664 O:2331 N:3080 S:3059 | ErrAz:333 ErrEl:21 | P_Az:33 P_El:-2
E:2662 O:2331 N:3080 S:3058 | ErrAz:331 ErrEl:22 | P_Az:33 P_El:-2
E:2662 O:2331 N:3079 S:3058 | ErrAz:331 ErrEl:21 | P_Az:33 P_El:-2
E:2662 O:2331 N:3080 S:3058 | ErrAz:331 ErrEl:22 | P_Az:33 P_El:-2
